"Sleeping Bride","tt0225836","1","0","6","0","2000","100","
Japanese","
Japan","VCD","HK","Hong Kong"
"Storm Riders","tt0165499","1","8","6.2","0","1998","128","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Street Kids Violence",,"1","4","0","0","0","0",,,"VCD","HK","Hong Kong"
"Swordsman I","tt0100973","1","0","7","0","1990","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Swordsman III: The East Is Red","tt0105655","1","0","6.1","0","1993","93","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Tai Chi 2","tt0117821","1","0","6.7","0","1996","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Avenging Fist","tt0260136","1","0","4.5","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Blade","tt0112800","1","0","7.2","0","1995","101","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Cheaters","tt0325170","1","5","4.2","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Conman","tt0184354","1","7.5","5.9","0","1998","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Enemy","tt0365121","1","4","0","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Legend of Speed","tt0234105","1","6","5.8","0","1999","109","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Legend of Zu","tt0286098","1","8","5.3","0","2001","104","
Mandarin","
Hong Kong","VCD","HK","Hong Kong"
"The Legendary Tai Fei","tt0240559","1","0","5.1","0","1999","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Lord of Amusement","tt0346169","1","7","5","0","1999","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Magnificent Scoundrels","tt0102737","1","0","6.4","0","1991","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Master","tt0097775","1","0","5.2","0","1992","92","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Odd One Dies","tt0119818","1","0","6.5","0","1997","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Tai Chi Master","tt0108281","1","4.5","7","0","1993","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"The Young Ones","tt0369191","1","0","0","0","2001","90","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"There is a Secret to my Soup","tt0299109","1","0.5","3.9","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Time 4 Hope","tt0346161","1","0","5.3","0","2002","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Tiramisu","tt0348214","1","6","6.2","0","2002","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Tokyo Raiders","tt0233600","1","7.5","5.7","0","2000","118","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Triad Zone","tt0266703","1","0","6.9","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Troublesome Night 9","tt0283079","1","0","0","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Twilight Garden","tt0266073","1","3.5","2.7","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Violent Cop","tt0275052","1","0","4.9","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"When a man loves a woman","tt0278818","1","0","0","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"X Imp","tt0289966","1","2","3.3","0","1999","84","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"You Shoot I Shoot","tt0312932","1","0","7.7","0","2001","94","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Young and Dangerous I","tt0116456","1","7","7.1","0","1996","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Young and Dangerous II","tt0260932","1","6.5","6.7","0","1996","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Young and Dangerous III","tt0116455","1","6","6.4","0","1996","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Young and Dangerous IV","tt0128907","1","5.5","6.3","0","1997","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Young and Dangerous V","tt0163511","1","5","6.1","0","1998","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"1984","tt0087803","1","0","7.1","0","1984","0","
English","
UK","DVD","US","American"
"12 Angry Men","tt0050083","1","7","8.8","0","1957","0","
English","
USA","DVD","US","American"
"2001: A Space Odyssey","tt0062622","1","7","8.4","0","1968","0","
English","
UK","DVD","US","American"
"A Beautiful Mind","tt0268978","1","7","7.9","0","2001","0","
English","
USA","DVD","US","American"
"A Better Tomorrow","tt0092263","1","0","7.5","0","1986","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"A Wicked Ghost","tt0344290","1","3","4.1","0","1999","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"AI: Artificial Intelligence","tt0212720","1","7.5","6.9","0","2001","0","
English","
USA","DVD","US","American"
"Amelie","tt0211915","1","10","8.6","0","2001","122","
French","
France","DVD","FR","France"
"American Wedding","tt0328828","1","7.5","6.2","0","2003","74","
English","
USA","DVD","US","American"
"Apocolypse Now","tt0078788","1","7.5","8.6","0","1979","0","
English","
USA","DVD","US","American"
"Battle Royale","tt0266308","1","8","8","0","2000","114","
Japanese","
Japan","DVD","JP","Japanese"
"Battle Royale 2","tt0338763","1","0","4.7","0","2003","134","
Japanese","
Japan","DVD","JP","Japanese"
"Bowling for Columbine","tt0310793","1","9.5","8.2","0","2002","0","
English","
Canada","DVD","US","American"
"Box of Moonlight","tt0115738","1","7.5","7","0","1996","0","
English","
USA","DVD","US","American"
"Braveheart","tt0112573","1","9.5","8.3","0","1995","0","
English","
USA","DVD","US","American"
"Catch Me if You Can","tt0264464","1","7.5","7.7","0","2002","0","
English","
USA","DVD","US","American"
"Chicago","tt0299658","1","8.5","7.3","0","2002","0","
English","
USA","DVD","US","American"
"Citizen Kane","tt0033467","1","8","8.6","0","1941","0","
English","
USA","DVD","US","American"
"Clockwork Orange","tt0066921","1","9.5","8.5","0","1971","0","
English","
UK","DVD","US","American"
"Donnie Darko","tt0246578","1","10","8.3","0","2001","0","
English","
USA","DVD","US","American"
"Dr. Strangelove","tt0057012","1","7","8.7","0","1964","0","
English","
UK","DVD","US","American"
"Drunken Angel","tt0040979","1","0","7.8","0","1948","98","
Japanese","
Japan","DVD","JP","Japanese"
"End of Evangelion","tt0169858","1","8.5","7.9","0","1997","0","
Japanese","
Japan","DVD","JP","Japanese"
"Enter the Dragon","tt0070034","1","8.5","7.5","0","1973","110","
English","
Hong Kong","DVD","US","American"
"Exorcist Master","tt0106841","1","0","5.9","0","1993","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Fast and the Furious","tt0232500","1","5.5","5.8","0","2001","0","
English","
USA","DVD","US","American"
"Fight Back to School I","tt0103045","1","0","7.1","0","1991","0","
Cantonese","
Hong Kong","DVD","HK","Hong Kong"
"Fight Club","tt0137523","1","8.5","8.7","0","1999","0","
English","
USA","DVD","US","American"
